"","GSPC.Open","GSPC.High","GSPC.Low","GSPC.Close","GSPC.Volume","GSPC.Adjusted"
"2020-01-13",3271.129883,3329.879883,3268.429932,3329.620117,18071600000,3329.620117
"2020-01-20",3321.030029,3337.77002,3281.530029,3295.469971,15197180000,3295.469971
"2020-01-27",3247.159912,3293.469971,3214.679932,3225.52002,19249400000,3225.52002
"2020-02-03",3235.659912,3347.959961,3235.659912,3327.709961,19469980000,3327.709961
"2020-02-10",3318.280029,3385.090088,3317.77002,3380.159912,18033560000,3380.159912
"2020-02-17",3369.040039,3393.52002,3328.449951,3337.75,15253460000,3337.75
"2020-02-24",3257.610107,3259.810059,2855.840088,2954.219971,31535270000,2954.219971
"2020-03-02",2974.280029,3136.719971,2901.540039,2972.370117,29895510000,2972.370117
"2020-03-09",2863.889893,2882.590088,2478.860107,2711.02002,40521170000,2711.02002
"2020-03-16",2508.590088,2562.97998,2280.52002,2304.919922,41887220000,2304.919922
"2020-03-23",2290.709961,2637.01001,2191.860107,2541.469971,37182690000,2541.469971
"2020-03-30",2558.97998,2641.389893,2447.48999,2488.649902,30804590000,2488.649902
"2020-04-06",2578.280029,2818.570068,2574.570068,2789.820068,27169090000,2789.820068
"2020-04-13",2782.459961,2879.219971,2721.169922,2874.560059,27017230000,2874.560059
"2020-04-20",2845.620117,2868.97998,2727.100098,2836.73999,26476650000,2836.73999
"2020-04-27",2854.649902,2954.860107,2821.610107,2830.709961,28763560000,2830.709961
"2020-05-04",2815.01001,2932.159912,2797.850098,2929.800049,24736450000,2929.800049
"2020-05-11",2915.459961,2945.820068,2766.639893,2863.699951,27177120000,2863.699951
"2020-05-18",2913.860107,2980.290039,2913.860107,2955.449951,25246330000,2955.449951
"2020-05-25",3004.080078,3068.669922,2969.75,3044.310059,24886040000,3044.310059
"2020-06-01",3038.780029,3211.719971,3031.540039,3193.929932,30895920000,3193.929932
"2020-06-08",3199.919922,3233.129883,2984.469971,3041.310059,34241980000,3041.310059
"2020-06-15",2993.76001,3155.530029,2965.659912,3097.73999,28876100000,3097.73999
"2020-06-22",3094.419922,3154.899902,3004.629883,3009.050049,27870950000,3009.050049
