Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,83.820000,87.220001,83.660004,86.750000,67.238533,47337600
2018-01-08,86.699997,87.989998,85.930000,87.519997,67.835350,54081500
2018-01-15,87.739998,88.209999,86.599998,87.150002,67.548584,43742500
2018-01-22,87.169998,89.000000,87.050003,89.000000,68.982483,52654600
2018-01-29,88.589996,89.300003,83.000000,84.529999,65.517853,83921500
2018-02-05,83.279999,83.989998,73.900002,75.779999,58.735886,143852400
2018-02-12,77.050003,77.620003,75.169998,76.540001,59.931568,76610200
2018-02-19,76.470001,77.620003,74.870003,77.529999,60.706768,52501300
2018-02-26,77.739998,79.870003,74.480003,75.550003,59.156395,79984700
2018-03-05,75.230003,76.980003,73.559998,74.559998,58.381210,91914700
2018-03-12,74.870003,75.820000,73.529999,75.120003,58.819698,90537400
2018-03-19,75.000000,75.639999,72.669998,72.889999,57.073589,79060800
2018-03-26,73.650002,74.889999,72.750000,74.610001,58.420368,63901400
2018-04-02,74.269997,76.320000,72.160004,74.870003,58.623962,75512100
2018-04-09,75.220001,78.190002,74.800003,77.839996,60.949482,68038600
2018-04-16,78.120003,79.820000,77.709999,79.000000,61.857784,56646800
2018-04-23,78.919998,80.900002,76.480003,77.790001,60.910343,70600500
2018-04-30,77.910004,78.559998,75.400002,76.900002,60.213459,67273800
2018-05-07,77.739998,81.970001,76.370003,81.279999,63.643047,82105300
2018-05-14,81.699997,82.320000,81.169998,81.300003,64.303947,55272800
2018-05-21,81.730003,82.650002,78.089996,78.709999,62.255398,62639200
2018-05-28,78.150002,82.349998,77.529999,81.830002,64.723167,56981500
2018-06-04,82.050003,83.660004,80.410004,83.599998,66.123131,62470200
2018-06-11,83.720001,83.790001,80.510002,80.660004,63.797752,70507500
2018-06-18,80.400002,81.940002,79.330002,81.379997,64.367226,53872900
2018-06-25,80.779999,83.540001,79.300003,82.730003,65.435005,60379800
2018-07-02,81.889999,83.449997,81.320000,82.330002,65.118637,33868400
2018-07-09,82.809998,84.120003,82.029999,83.309998,65.893745,44852300
2018-07-16,82.519997,82.790001,81.250000,81.400002,64.383049,42247500
2018-07-23,81.949997,84.400002,80.809998,81.919998,64.794327,60501400
2018-07-30,82.129997,82.150002,79.449997,80.199997,63.433895,48111300
2018-08-06,80.250000,81.589996,78.860001,79.419998,62.816982,50797700
2018-08-13,79.449997,79.750000,76.510002,78.260002,62.537952,56320500
