Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,107.339996,112.930000,107.099998,112.260002,95.216499,26546200
2019-01-08,113.400002,114.000000,111.080002,111.720001,94.758476,29463600
2019-01-15,111.980003,114.650002,110.169998,114.370003,97.006157,23674900
2019-01-22,113.120003,114.779999,110.419998,112.169998,95.140167,34943400
2019-01-29,113.029999,119.750000,111.769997,119.739998,101.560875,43449400
2019-02-05,119.620003,119.860001,115.919998,116.949997,99.194450,29690300
2019-02-12,118.330002,120.389999,117.610001,119.349998,101.230072,22952900
2019-02-19,118.900002,120.720001,118.389999,119.620003,102.478996,25072000
2019-02-26,119.809998,122.839996,118.489998,122.120003,104.620766,32385000
2019-03-05,121.870003,124.699997,119.199997,123.620003,105.905807,35248900
2019-03-12,123.839996,126.129997,123.379997,125.879997,107.841949,32074300
2019-03-19,126.559998,126.919998,122.309998,122.889999,105.280426,26480000
2019-03-26,123.769997,125.269997,122.019997,124.940002,107.036659,22690200
2019-04-02,125.199997,127.339996,123.540001,126.680000,108.527313,22708000
2019-04-09,126.290001,126.570000,119.000000,120.139999,102.924484,67424500
2019-04-16,120.430000,122.540001,119.099998,121.900002,104.432281,41333700
2019-04-23,121.730003,122.279999,115.650002,117.720001,100.851265,62861300
2019-04-30,121.099998,121.919998,116.279999,118.400002,101.433815,59424000
2019-05-07,117.300003,122.320000,116.500000,120.440002,103.181480,48379600
2019-05-14,120.669998,122.489998,119.879997,120.839996,103.524178,33787400
2019-05-21,121.029999,121.940002,116.860001,118.709999,102.699989,26513700
2019-05-28,118.879997,119.320000,113.720001,115.989998,100.346817,34404900
2019-06-04,116.599998,122.760002,116.269997,122.290001,105.797165,28763300
2019-06-11,123.370003,123.500000,119.559998,121.389999,105.018547,21204400
2019-06-18,121.949997,126.199997,121.860001,124.910004,108.063820,36333600
2019-06-25,124.839996,125.839996,122.889999,124.839996,108.003258,25895000
2019-07-02,124.550003,124.720001,122.330002,123.599998,106.930496,15437600
2019-07-09,123.900002,126.400002,123.070000,125.720001,108.764587,19960700
2019-07-16,125.500000,125.779999,123.360001,125.309998,108.409874,22499200
2019-07-23,125.239998,127.000000,123.300003,124.230003,107.475525,25028200
2019-07-30,124.099998,124.750000,117.449997,118.739998,102.725937,36646100
2019-08-06,118.720001,123.889999,116.949997,121.550003,105.156967,31498000
2019-08-13,121.010002,122.699997,115.360001,117.309998,101.488800,31937400
2019-08-20,117.129997,118.739998,114.349998,115.739998,101.159866,25711200
2019-08-27,116.269997,118.980003,115.040001,117.720001,102.890442,17739000
2019-09-03,115.769997,119.629997,114.550003,119.389999,104.350067,25288600
2019-09-10,120.230003,125.269997,119.559998,124.120003,108.484222,35625900
2019-09-17,124.120003,125.000000,122.559998,124.900002,109.165962,31208700
2019-09-24,124.669998,124.720001,118.410004,118.599998,103.659584,30788000
2019-10-01,119.269997,119.459999,110.419998,113.260002,98.992294,31585600
2019-10-08,112.110001,117.029999,111.610001,116.180000,101.544449,21186600
2019-10-15,115.849998,117.620003,114.739998,116.610001,101.920280,20680200
2019-10-22,116.629997,119.510002,116.489998,118.480003,103.554703,20562800
2019-10-29,117.970001,121.870003,114.019997,121.570000,106.255447,34450500
2019-11-05,121.230003,122.449997,119.800003,120.809998,105.591179,26637200
2019-11-12,121.290001,122.940002,118.139999,118.550003,103.615898,24937700
2019-11-19,118.500000,119.699997,116.080002,118.379997,104.486809,32613800
2019-11-26,118.339996,118.610001,116.720001,116.800003,103.092232,22625400
2019-12-03,116.199997,119.290001,115.699997,117.300003,103.533569,28831400
2019-12-10,118.029999,119.540001,116.129997,119.360001,105.351799,28871100
2019-12-17,119.589996,120.400002,117.860001,120.330002,106.207954,38518600
2019-12-24,120.430000,121.419998,119.809998,119.849998,105.784294,14007200
2019-12-31,119.500000,122.720001,119.250000,120.599998,106.446274,25734600
2020-01-07,119.019997,119.730003,116.080002,116.660004,102.968689,35738600
2020-01-14,116.500000,117.290001,115.519997,115.580002,102.015442,27905800
2020-01-21,115.099998,115.150002,109.980003,110.389999,97.434532,36597800
2020-01-28,110.980003,111.839996,105.400002,106.279999,93.806877,41412500
2020-02-04,107.680000,110.669998,106.599998,109.790001,96.904945,33939000
2020-02-11,110.779999,112.599998,109.580002,110.080002,97.160919,22939000
2020-02-18,109.000000,111.099998,104.419998,104.709999,93.501343,31313600
2020-02-25,104.800003,104.919998,90.110001,96.589996,86.250549,76531900
2020-03-03,96.790001,99.019997,80.000000,80.669998,72.034698,91550300
2020-03-10,86.239998,86.300003,69.690002,69.699997,62.238987,107856700
2020-03-17,70.400002,72.980003,51.599998,54.220001,48.416042,128226900
2020-03-24,61.480000,77.099998,60.320000,71.949997,64.248138,114786300
2020-03-31,73.269997,80.949997,67.610001,80.389999,71.784683,88337100
2020-04-07,84.260002,89.910004,80.849998,84.910004,75.820847,59558100
2020-04-14,85.459999,87.500000,78.809998,83.570000,74.624275,72950900
2020-04-21,80.279999,90.620003,79.250000,89.709999,80.107010,65380400
2020-04-28,89.550003,95.739998,87.040001,91.440002,81.651840,59652500
2020-05-05,94.500000,95.559998,89.769997,93.370003,83.375244,50191100
2020-05-12,93.129997,94.029999,86.019997,92.550003,82.643013,54059700
2020-05-19,92.529999,93.470001,89.470001,90.279999,81.799507,34303300
2020-05-26,92.489998,94.690002,89.260002,92.790001,84.073738,51239900
2020-06-02,93.779999,103.589996,93.290001,103.239998,93.542114,46543000
2020-06-09,100.699997,102.930000,88.209999,91.230003,82.660286,57998400
2020-06-16,94.989998,95.580002,89.589996,91.589996,82.986450,42588700
2020-06-23,92.500000,93.089996,86.180000,87.669998,79.434677,43478400
2020-06-30,86.599998,90.769997,86.360001,88.570000,80.250145,27223300
2020-07-07,87.820000,88.080002,82.500000,85.400002,77.377922,34760100
2020-07-14,85.389999,90.190002,84.800003,85.269997,77.260117,39110200
2020-07-21,86.470001,92.739998,86.360001,91.040001,82.488113,46239000
2020-07-28,90.470001,91.169998,81.510002,84.809998,76.843330,53626900
2020-08-04,84.480003,89.760002,84.279999,89.730003,81.301170,38772900
2020-08-11,91.949997,93.010002,88.849998,90.769997,82.243484,42263100
2020-08-18,88.970001,89.370003,83.510002,87.199997,79.008827,42716400
2020-08-25,88.010002,88.040001,83.870003,83.930000,77.142334,38505900
2020-09-01,83.260002,84.489998,80.900002,81.930000,75.304077,46509000
2020-09-08,80.500000,81.070000,76.919998,77.290001,71.039330,57973400
