Weekly_Date,XOM,CVX
10/28/2002,34.86,36.65
10/21/2002,35.75,37.3
10/14/2002,34.5,35.99
10/7/2002,33,35.9
9/30/2002,32.82,35.48
9/23/2002,32.62,35.02
9/16/2002,33.83,36.5
9/9/2002,34.25,37.3
8/26/2002,36.2,39.02
8/19/2002,36.55,38.21
8/12/2002,35.27,37.38
8/5/2002,33.65,35.4
7/29/2002,35.9,36
7/22/2002,32.4,36.85
7/15/2002,36.1,41.08
7/8/2002,40.35,43.8
7/1/2002,40.77,44.25
6/24/2002,39.25,44.08
6/17/2002,39.45,43.75
6/10/2002,39.42,43.55
6/3/2002,40,43.98
5/20/2002,39.95,44.27
5/13/2002,38.82,43.62
5/6/2002,40.12,44.45
4/29/2002,40,42.51
4/22/2002,42.45,43.83
4/15/2002,42.1,42.7
4/8/2002,43.35,43.92
4/1/2002,44.2,44.98
3/25/2002,43.22,44.55
3/18/2002,43.75,45.09
3/11/2002,43.25,44.35
3/4/2002,42.15,42.76
2/25/2002,40.85,41.75
2/11/2002,38.29,40.52
2/4/2002,39.1,42.42
1/28/2002,39.45,44.59
1/14/2002,38.6,43.71
1/7/2002,39.75,44.72
12/31/2001,39.88,45
12/24/2001,38.85,44.3
12/17/2001,36.8,42.12
12/10/2001,38.07,43.45
12/3/2001,37.4,42.51
11/26/2001,38.05,42.58
11/19/2001,37.4,41.73
11/12/2001,39.4,44.45
11/5/2001,40,43.98
10/29/2001,40.63,44.6
10/22/2001,40.49,43.45
10/15/2001,41.95,45.25
10/8/2001,40.39,44.23
10/1/2001,39.25,41.92
9/24/2001,36,42.01
9/17/2001,41.24,46.25
9/10/2001,40.7,46.2
8/27/2001,41.7,46.55
8/20/2001,40.42,46.02
8/13/2001,41.4,45.9
8/6/2001,41.26,45.23
7/30/2001,42.4,45.7
7/23/2001,43.5,44.55
7/16/2001,43.08,44.75
7/9/2001,43.52,45.5
7/2/2001,44.12,45.24
6/25/2001,44.01,47.48
6/18/2001,44.61,48.34
6/11/2001,44.75,48.5
6/4/2001,44.9,48.48
5/21/2001,45.23,49
5/14/2001,44.1,47.01
5/7/2001,43.77,46.99
4/30/2001,44.45,48.74
4/23/2001,42.98,46.95
4/16/2001,41.06,46
4/9/2001,41.05,44.88
4/2/2001,40.5,43.9
3/26/2001,38.99,43.9
3/19/2001,40.7,44.05
3/12/2001,42.99,46.37
3/5/2001,41.48,44.38
2/26/2001,41.42,42
2/12/2001,42.93,43
2/5/2001,41.62,41.4
1/29/2001,40.02,40.81
1/22/2001,39.88,39.38
1/8/2001,41.75,40.75
12/18/2000,42.12,39.44
12/11/2000,44.28,40.69
12/4/2000,44.41,41.19
11/27/2000,46.75,42.56
11/20/2000,45.28,42.16
11/13/2000,44.81,42.53
11/6/2000,43.88,40.47
10/30/2000,43.78,39.69
10/23/2000,44.19,41.75
10/16/2000,45.25,40
10/9/2000,44.72,42.41
10/2/2000,44.69,43.09
9/25/2000,42.94,41.5
9/18/2000,44.56,45.44
9/11/2000,41.75,43.34
8/28/2000,41.34,43.06
8/21/2000,41.5,43.09
8/14/2000,41.09,41.62
8/7/2000,40.44,39.84
7/31/2000,40.03,40
7/24/2000,38.5,39.34
7/17/2000,39.97,42
7/10/2000,39.25,42.03
7/3/2000,39.41,42.44
6/26/2000,41.62,44.84
6/19/2000,41.97,46.66
6/12/2000,39.94,46.41
6/5/2000,39.5,45.38
5/22/2000,41.19,46.91
5/15/2000,40.97,46.91
5/8/2000,39.94,45.53
5/1/2000,39.16,42.75
4/24/2000,39.31,42.66
4/17/2000,39.31,42.5
4/10/2000,39.5,42.72
4/3/2000,38.88,46.31
3/27/2000,38.62,42.09
3/20/2000,38.09,41.78
3/13/2000,38.25,40.47
3/6/2000,37,37.22
2/28/2000,35.5,35.53
2/14/2000,37.25,37.09
2/7/2000,39.75,39.56
1/31/2000,39.31,41.03
1/24/2000,42.72,44.75
1/10/2000,42.09,45.03
1/3/2000,39.75,42.94
